ROI ID,Total Intensity:CH1,Average:CH1,Max Intensity:CH1,Min Intensity:CH1,Range:CH1,SD:CH1,3SD:CH1,Total Intensity:CH2,Average:CH2,Max Intensity:CH2,Min Intensity:CH2,Range:CH2,SD:CH2,3SD:CH2,Time,Frame Id
12A,2858829.000000,1707.783154,4095.000000,29.000000,4066.000000,1562.566430,4687.699291,2630267.000000,1571.246714,2490.000000,268.000000,2222.000000,634.401670,1903.205009,27.824896,t042_0_1
13A,2770015.000000,1654.728196,4095.000000,30.000000,4065.000000,1571.005572,4713.016715,2683568.000000,1603.087216,2518.000000,261.000000,2257.000000,717.036772,2151.110315,27.824896,t042_0_1
14A,2141501.000000,1279.271804,4095.000000,28.000000,4067.000000,1342.865956,4028.597867,2916870.000000,1742.455197,2517.000000,252.000000,2265.000000,643.337602,1930.012807,27.824896,t042_0_1
15A,1445344.000000,863.407407,4095.000000,29.000000,4066.000000,946.730758,2840.192274,3023446.000000,1806.120669,2532.000000,280.000000,2252.000000,650.985266,1952.955799,27.824896,t042_0_1
16A,1372599.000000,819.951613,4095.000000,28.000000,4067.000000,880.536920,2641.610761,2895569.000000,1729.730585,2531.000000,273.000000,2258.000000,694.850059,2084.550176,27.824896,t042_0_1
17A,1409033.000000,841.716249,4095.000000,28.000000,4067.000000,1102.304627,3306.913882,3284454.000000,1962.039427,2535.000000,603.000000,1932.000000,474.170435,1422.511306,27.824896,t042_0_1
18A,876658.000000,523.690562,4093.000000,28.000000,4065.000000,474.312449,1422.937348,3241701.000000,1936.500000,2546.000000,265.000000,2281.000000,705.391895,2116.175685,27.824896,t042_0_1
19A,573077.000000,342.339904,1992.000000,26.000000,1966.000000,231.122834,693.368502,3781703.000000,2259.081840,2564.000000,1440.000000,1124.000000,151.569104,454.707313,27.824896,t042_0_1
20A,65244.000000,38.974910,165.000000,26.000000,139.000000,18.788500,56.365500,4155627.000000,2482.453405,2517.000000,2446.000000,71.000000,9.542988,28.628964,27.824896,t042_0_1
1A,4242358.000000,2534.264038,4095.000000,59.000000,4036.000000,1488.432975,4465.298924,2201473.000000,1315.097372,2432.000000,204.000000,2228.000000,608.865378,1826.596134,28.503552,t043_0_1
2A,4669987.000000,2789.717443,4095.000000,125.000000,3970.000000,1556.863960,4670.591881,2371575.000000,1416.711470,2442.000000,212.000000,2230.000000,517.456189,1552.368568,28.503552,t043_0_1
