ROI ID,Total Intensity:CH1,Average:CH1,Max Intensity:CH1,Min Intensity:CH1,Range:CH1,SD:CH1,3SD:CH1,Total Intensity:CH2,Average:CH2,Max Intensity:CH2,Min Intensity:CH2,Range:CH2,SD:CH2,3SD:CH2,Time,Frame Id
1A,2562584.000000,1530.814815,4095.000000,29.000000,4066.000000,1496.875040,4490.625121,2142333.000000,1279.768817,1870.000000,228.000000,1642.000000,429.555164,1288.665492,54.916992,t118_0_1
2A,2139449.000000,1278.045998,4095.000000,28.000000,4067.000000,1510.165009,4530.495027,2177163.000000,1300.575269,1814.000000,274.000000,1540.000000,458.186353,1374.559059,54.916992,t118_0_1
3A,2188351.000000,1307.258662,4095.000000,27.000000,4068.000000,1529.058040,4587.174121,2286751.000000,1366.040024,1924.000000,357.000000,1567.000000,418.111712,1254.335137,54.916992,t118_0_1
4A,1903638.000000,1137.179211,4095.000000,28.000000,4067.000000,1486.390680,4459.172039,2387519.000000,1426.235962,2026.000000,334.000000,1692.000000,413.301943,1239.905828,54.916992,t118_0_1
5A,969880.000000,579.378734,4095.000000,25.000000,4070.000000,892.893118,2678.679355,2094811.000000,1251.380526,1961.000000,284.000000,1677.000000,419.537265,1258.611794,54.916992,t118_0_1
6A,850896.000000,508.301075,4095.000000,26.000000,4069.000000,793.030163,2379.090488,1752548.000000,1046.922342,1712.000000,293.000000,1419.000000,378.992669,1136.978007,54.916992,t118_0_1
7A,873167.000000,521.605137,4095.000000,27.000000,4068.000000,812.457489,2437.372468,2278773.000000,1361.274194,1838.000000,484.000000,1354.000000,356.788643,1070.365929,54.916992,t118_0_1
8A,813311.000000,485.848865,3619.000000,26.000000,3593.000000,670.520032,2011.560097,2341511.000000,1398.752091,1744.000000,529.000000,1215.000000,252.620143,757.860430,54.916992,t118_0_1
9A,660544.000000,394.590203,3623.000000,26.000000,3597.000000,455.789441,1367.368324,2594039.000000,1549.605137,1948.000000,792.000000,1156.000000,232.935613,698.806840,54.916992,t118_0_1
10A,488323.000000,291.710275,1286.000000,27.000000,1259.000000,185.757294,557.271881,2881140.000000,1721.111111,1968.000000,1479.000000,489.000000,68.347753,205.043260,54.916992,t118_0_1
11A,129684.000000,77.469534,362.000000,24.000000,338.000000,47.813900,143.441700,3279823.000000,1959.272999,2060.000000,1895.000000,165.000000,24.201862,72.605586,54.916992,t118_0_1
1A,2516156.000000,1503.080048,4095.000000,30.000000,4065.000000,1474.286953,4422.860860,2154962.000000,1287.313023,1876.000000,228.000000,1648.000000,431.894949,1295.684848,55.386368,t119_0_1
2A,2182087.000000,1303.516726,4095.000000,27.000000,4068.000000,1532.229917,4596.689752,2203249.000000,1316.158303,1826.000000,269.000000,1557.000000,458.092399,1374.277196,55.386368,t119_0_1
3A,2231438.000000,1332.997611,4095.000000,28.000000,4067.000000,1552.201087,4656.603260,2306698.000000,1377.955795,1934.000000,346.000000,1588.000000,400.275360,1200.826079,55.386368,t119_0_1
4A,1901998.000000,1136.199522,4095.000000,28.000000,4067.000000,1480.093123,4440.279369,2366558.000000,1413.714456,2028.000000,306.000000,1722.000000,418.619521,1255.858562,55.386368,t119_0_1
5A,956366.000000,571.305854,4095.000000,28.000000,4067.000000,871.454749,2614.364247,2162418.000000,1291.767025,1984.000000,287.000000,1697.000000,443.956331,1331.868994,55.386368,t119_0_1
6A,858764.000000,513.001195,3809.000000,26.000000,3783.000000,788.714465,2366.143396,1732730.000000,1035.083632,1710.000000,296.000000,1414.000000,367.331067,1101.993200,55.386368,t119_0_1
7A,825822.000000,493.322581,4090.000000,26.000000,4064.000000,774.892397,2324.677191,2306119.000000,1377.609916,1839.000000,488.000000,1351.000000,358.235948,1074.707843,55.386368,t119_0_1
8A,869198.000000,519.234170,3942.000000,28.000000,3914.000000,764.396056,2293.188169,2266712.000000,1354.069295,1743.000000,519.000000,1224.000000,288.905974,866.717922,55.386368,t119_0_1
9A,649064.000000,387.732378,2992.000000,27.000000,2965.000000,435.730061,1307.190182,2608819.000000,1558.434289,1967.000000,900.000000,1067.000000,184.662965,553.988894,55.386368,t119_0_1
