ROI ID,Total Intensity:CH2,Average:CH2,Max Intensity:CH2,Min Intensity:CH2,Total Intensity:CH3,Average:CH3,Max Intensity:CH3,Min Intensity:CH3,Time,Frame Id
12A,1437428.000000,858.678614,4095.000000,152.000000,762175.000000,455.301673,581.000000,129.000000,4.616136,t008_0_1
13A,1652135.000000,986.938471,4095.000000,150.000000,734780.000000,438.936679,582.000000,116.000000,4.616136,t008_0_1
14A,1443501.000000,862.306452,4095.000000,156.000000,760653.000000,454.392473,581.000000,118.000000,4.616136,t008_0_1
15A,1376697.000000,822.399642,4095.000000,155.000000,716753.000000,428.167861,584.000000,112.000000,4.616136,t008_0_1
16A,1309822.000000,782.450418,4095.000000,155.000000,727168.000000,434.389486,583.000000,119.000000,4.616136,t008_0_1
17A,1213997.000000,725.207288,4095.000000,169.000000,830687.000000,496.228793,586.000000,134.000000,4.616136,t008_0_1
18A,956878.000000,571.611708,4095.000000,168.000000,832714.000000,497.439665,582.000000,158.000000,4.616136,t008_0_1
19A,1015696.000000,606.747909,4095.000000,152.000000,879143.000000,525.175030,583.000000,185.000000,4.616136,t008_0_1
20A,260531.000000,155.633811,243.000000,148.000000,948792.000000,566.781362,579.000000,550.000000,4.616136,t008_0_1
1A,2467944.000000,1474.279570,4095.000000,149.000000,619348.000000,369.980884,566.000000,186.000000,5.275584,t009_0_1
2A,2328466.000000,1390.959379,4095.000000,150.000000,648087.000000,387.148746,566.000000,171.000000,5.275584,t009_0_1
3A,1562698.000000,933.511350,4095.000000,150.000000,649799.000000,388.171446,564.000000,167.000000,5.275584,t009_0_1
4A,1182707.000000,706.515532,3855.000000,149.000000,660406.000000,394.507766,570.000000,138.000000,5.275584,t009_0_1
5A,879388.000000,525.321386,2617.000000,150.000000,693201.000000,414.098566,577.000000,140.000000,5.275584,t009_0_1
6A,880571.000000,526.028076,2774.000000,149.000000,695046.000000,415.200717,576.000000,140.000000,5.275584,t009_0_1
7A,1061415.000000,634.059140,3528.000000,150.000000,728467.000000,435.165472,579.000000,126.000000,5.275584,t009_0_1
8A,988340.000000,590.406213,3673.000000,150.000000,685677.000000,409.603943,579.000000,122.000000,5.275584,t009_0_1
